TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
SHOP11;68,00;;0,00;47,49;1,43;272,00;2,35;;;70.340.719,59;39,00;Ativa;1.481.266,00
SHPH11;780,00;3,750000;6,19;890,58;0,88;41.789,84;0,92;15,78;-4,79;542.318.124,24;2.536,00;Passiva;608.950,00
SHSO11;0,00;0,890000;0,00;99,62;;;4,63;;;19.923.047,67;1,00;Ativa;200.000,00
SIGR11;100,00;1,441395;11,35;102,84;0,97;200,00;14,06;;;40.045.547,93;52,00;Ativa;389.395,00
SJAU11;84,00;;0,00;95,91;0,88;12.080.870,00;0,04;;;760.782.938,95;158,00;Passiva;7.932.248,00
SNCI11;100,20;1,000000;12,48;98,92;1,01;603.010,48;2,01;;;415.451.792,74;44.306,00;Ativa;4.200.000,00
SNEL11;100,00;;0,00;101,63;0,98;;1,07;;;50.819.744,01;3.363,00;Ativa;500.026,00
SNFF11;93,89;0,650000;9,16;93,78;1,00;479.984,03;7,31;;;265.411.251,95;31.035,00;Ativa;2.830.000,00
SNLG11;31,25;0,350000;6,72;63,43;0,49;49.942,35;2,98;;;119.765.997,95;3.730,00;Ativa;1.888.174,00
SOLR11;1.128,06;4,770765;5,08;952,89;1,18;;1,13;;;59.920.468,57;52,00;Ativa;62.883,00
SPAF11;0,00;5,520376;0,00;1.010,06;;;1,35;39,74;;11.383.371,11;1,00;Ativa;11.270,00
SPDE11;0,00;;0,00;976,15;;;27,78;;;40.139.449,70;78,00;Ativa;41.120,00
SPMO11;119,90;0,430000;0,36;125,10;0,96;239,00;0,02;;;226.217.753,12;8,00;Ativa;1.808.330,00
SPTW11;41,49;0,460000;12,15;55,99;0,74;90.775,10;6,44;-30,83;-21,39;100.666.479,73;27.785,00;Passiva;1.798.000,00
SPVJ11;0,00;0,670000;0,00;116,77;;;0,60;-0,61;;737.079.305,24;29,00;Ativa;6.312.090,00
SPXS11;100,00;1,230000;10,98;96,34;1,04;612.942,68;7,36;;;119.290.463,55;4.904,00;Ativa;1.238.196,00
SRVD11;3,00;0,200000;0,00;-0,01;;233,91;;;;-647.694,94;102,00;Ativa;96.286.020,00
STRX11;8,52;0,750000;107,51;164,04;0,05;;0,68;-73,18;;264.687.656,20;55,00;Ativa;1.613.559,00
TBOF11;15,56;0,822740;0,00;0,21;74,10;;492,15;74,62;;2.097.587,74;9.180,00;Passiva;10.050.000,00
TCIN11;136,45;;0,00;126,05;1,08;222.470,60;1,60;;;107.101.904,10;114,00;Ativa;849.660,00
TCPF11;1,26;1,520000;1.673,81;125,27;0,01;;6,50;;;37.247.030,25;51,00;Ativa;297.327,00
TELD11;0,00;;0,00;23,66;;;3,87;;;11.115.747,08;2,00;Ativa;469.760,00
TELF11;0,00;;0,00;;;;;;;;;;0,00
TELM11;0,00;;0,00;;;;;;;;;;500.000,00
TEPP11;89,17;0,580000;7,33;95,02;0,94;1.115.069,90;1,75;5,69;-0,96;401.186.738,80;19.326,00;Ativa;4.221.967,00
TFOF11;138,00;2,370000;0,00;121,20;1,14;;13,36;29,98;;103.080.374,68;3.278,00;Ativa;850.530,00
TGAR11;122,57;1,420000;13,71;118,03;1,04;3.988.201,10;1,82;6,42;-1,86;1.626.948.102,10;110.239,00;Ativa;13.784.500,00
THRA11;138,50;0,130000;0,00;9,54;14,52;;140,47;90,73;0,73;14.050.683,35;2.084,00;Passiva;1.472.728,00
TJKB11;262,16;2,620000;11,14;267,70;0,98;594,50;0,09;;;202.643.091,47;74,00;Ativa;756.974,00
TMPS11;104,65;0,800000;2,62;108,58;0,96;59.042,65;3,57;;;106.293.705,07;1.843,00;Ativa;978.968,00
TORD11;2,12;0,050000;14,62;12,58;0,17;248.491,42;0,46;;-41,46;441.080.668,28;100.738,00;Ativa;35.051.354,00
TORM13;142,00;10,562960;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
TOUR11;8,80;0,242328;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
TRBL11;99,15;0,720000;9,75;95,71;1,04;827.443,39;1,11;10,69;-0,71;612.048.658,06;63.292,00;Ativa;6.395.050,00
TRNT11;123,01;0,420000;3,98;196,67;0,63;53.189,67;0,58;-3,32;-12,08;773.997.393,87;697,00;Passiva;3.935.562,00
TRXB11;130,00;0,920000;8,54;109,45;1,19;787,43;0,73;5,75;4,97;313.127.824,30;193,00;Passiva;2.860.950,00
TRXF11;112,53;0,900000;9,51;106,05;1,06;5.032.637,74;0,78;9,50;3,33;1.271.774.618,80;103.828,00;Ativa;11.992.687,00
