TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ADP;243,50;2,06;29,30;28,49;1,96;44,74;26,04;18,94;15,98;21,60;0,19;0,26;5,55;-167,46;-11,36;0,99;97,23;6,69;56,41;0,07;0,93;0,35;6,29;12,60;;8,52;8,28;;100.405.327.399,00
ADPT;5,55;;-4,25;2,05;1,06;64,09;-94,74;-100,69;-5,01;-2,17;2,32;-1,05;4,28;2,13;-2,82;5,00;-48,21;-24,97;-45,36;0,52;0,48;0,25;36,96;;;2,74;-1,32;;807.119.658,00
ADSK;207,64;;50,87;36,86;4,88;90,45;19,97;16,77;37,64;42,95;0,20;0,17;8,53;-42,18;-7,07;0,73;72,47;9,60;26,29;0,13;0,87;0,57;19,47;;;5,64;4,09;;44.505.581.520,00
ADT;6,13;2,28;-152,61;1,71;0,33;68,71;4,30;-0,58;3,28;54,34;33,94;2,84;0,88;-7,42;-0,36;0,67;-1,12;-0,21;1,16;0,19;0,81;0,37;8,18;-17,28;;3,60;-0,04;;5.656.322.114,00
ADTN;8,22;4,36;-9,16;0,83;0,34;28,94;-11,66;-5,25;-22,37;-4,65;-0,53;0,11;0,48;1,20;-0,63;2,75;-9,05;-3,76;-24,05;0,42;0,35;0,72;8,99;;;9,94;-0,90;;649.124.850,00
ADTX;13,72;;-0,09;-0,67;0,35;18,88;-2.665,40;-2.891,14;-0,11;-0,20;-0,10;;2,72;-0,34;-0,50;0,22;-708,40;-375,76;2.016,60;-0,53;1,53;0,13;;;;-20,33;-144,03;;2.576.662,00
ADUS;86,02;;25,93;2,09;1,50;31,50;7,91;5,39;14,90;17,59;-0,07;-0,01;1,40;18,89;-1,94;1,55;8,08;5,80;8,55;0,72;0,28;1,08;17,43;30,95;;41,10;3,32;;1.395.599.229,00
ADV;2,80;;-0,63;0,84;0,22;12,96;-35,11;-34,72;-0,74;-1,84;-1,22;1,65;0,22;1,74;-0,30;1,88;-133,68;-35,39;-53,35;0,26;0,73;1,02;;;;3,36;-4,50;;918.474.802,00
ADVM;1,55;;-1,19;1,21;0,66;100,00;-3.704,42;-3.706,47;-1,22;-0,11;1,06;-1,08;44,04;1,55;-1,68;3,31;-101,74;-55,27;-101,74;0,54;0,46;0,01;;;;1,30;-1,32;;156.539.150,00
ADVWW;0,22;;-0,05;0,07;0,02;12,96;-35,11;-34,72;-0,06;-1,84;-1,22;1,65;0,02;0,14;-0,02;1,88;-133,68;-35,39;-53,35;0,26;0,73;1,02;;;;3,36;-4,50;;918.474.802,00
ADX;16,67;6,42;142,20;1,60;1,57;100,00;0,00;53,31;;;;0,00;75,81;-434,47;-1,57;0,16;1,13;1,10;;0,98;0,02;0,02;1,51;42,97;;10,41;0,12;;1.850.820.706,79
ADXN;0,37;;-0,27;0,85;0,51;100,00;-1.369,85;-1.394,12;;0,15;0,41;-1,28;3,74;0,88;-13,38;2,55;-316,80;-191,02;-311,28;0,60;0,40;0,14;;;;0,45;-1,42;;5.875.341,00
