,DY,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP GIRO,P/ATIVO CIRC.LIQ,DÍVIDA LÍQUIDA/PL,DÍVIDA LÍQUIDA/EBITDA,DÍVIDA LÍQUIDA/EBIT,PL/ATIVOS,PASSIVOS/ATIVOS,LIQUIDEZ CORRENTE,M.BRUTA,M.EBITDA,M.EBIT,M.LIQ,ROE,ROA,ROIC,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS
ARZZ3,"2,32","20,61","-1,45","2,74","10,93","17,17","12,21","15,36","25,08","1,40","3,33","1,66","7,14","-2,86","0,12","0,50","0,70","0,51","0,48","1,63","53,36","15,16","10,78","8,03","13,29","6,81","12,78","0,85","25,49","19,09"
ASAI3,"0,70","15,70","-0,49","4,25","4,23","8,48","6,23","5,75","2,95","0,43","0,80","0,29","-5,75","-0,63","2,20","2,19","2,97","0,10","0,90","0,81","16,44","6,88","5,06","1,85","27,09","2,76","17,32","1,49",,
ATMP3,,"0,05","0,00","-0,15",,"-1,69",,"-0,27","-13,18","0,03","40,30","0,13","-0,06","-0,04",,,"-1,43","-0,21","1,21","0,30","-22,72",,"-46,86","258,67","-305,71","64,77","-588,68","0,25","-16,95",
ATOM3,"14,24","24,25","-0,32","2,76",,"26,87",,"38,53","0,82","1,88","0,09","2,00","1,98","-84,35","-0,94",,"-13,21","0,68","0,32","34,11","94,22",,"5,18","8,23","11,36","7,75","4,23","0,94",,"-11,48"
AURA33,"4,45","10,34","-0,24","1,41",,"6,37",,"5,00","22,68","0,60","3,09","1,18","9,58","-0,90","0,39",,"1,39","0,43","0,57","1,24","36,27",,"23,68","11,46","13,62","5,84","12,85","0,51","32,13","63,49"
AURE3,"10,90","4,44","0,00","0,93","6,24","8,88","6,54","8,49","14,79","0,42","3,10","2,34","2,83","-0,58","0,03","0,20","0,27","0,45","0,55","2,12","21,03","37,50","27,60","52,70","20,94","9,38","5,22","0,18",,
AVLL3,,"-0,30","-0,02","-0,30","-0,60","-4,27","-4,35","-0,59","-18,05","0,11","-18,01","0,46","-0,19","-0,15",,"-3,71","-3,64","-0,36","1,36","0,32","26,70","-76,02","-77,39","-151,33","-99,81","-36,22","-46,92","0,24","19,61",
AZEV3,,"-4,60","0,01","1,84","-7,69","-4,45","-10,51","-3,26","1,28","0,36","-0,51","0,41","-3,27","-0,61","0,35","-1,48","-0,63","0,19","0,81","0,79","8,06","-5,37","-12,68","-8,98","-40,11","-7,78","-73,14","0,87","43,23",
AZEV4,,"-4,81","0,01","1,93","-8,04","-4,45","-10,51","-3,41","1,28","0,37","-0,51","0,43","-3,43","-0,64","0,35","-1,48","-0,63","0,19","0,81","0,79","8,06","-5,37","-12,68","-8,98","-40,11","-7,78","-73,14","0,87","43,23",
AZUL4,,"-10,75","0,33","-0,89",,"14,02",,"9,12","-15,56","1,02","-1,28","0,99","-1,43","-1,40",,,"11,30","-1,15","2,15","0,28","19,58",,"10,89","-9,23","-8,24","-9,47","75,25","1,03","15,41",
B3SA3,"3,05","17,49","-2,73","3,56","11,21","13,94","11,72","13,33","3,53","1,55","0,72","6,94","11,79","-2,35","-0,14","-0,43","-0,52","0,44","0,56","1,62","85,58","61,93","52,07","39,68","20,33","8,85","12,30","0,22","22,44","26,36"
BAHI3,,"-3,40","-0,18","4,63","-19,51","-12,88","-26,36","-9,53","2,46","0,47","-3,35","0,80","-1,49","-0,50","2,58","-10,86","-5,31","0,10","0,88","0,19","42,87","-4,12","-8,43","-23,65","-136,46","-13,69","-15,52","0,58","56,84",
